Vendedor,Dia da Semana,Data,Vendas,Aberta,Promocao,Feriado Estadual,Feriado Escolar
1,3,2020-12-31,2605,1,0,0,1
2,3,2020-12-31,2269,1,0,0,1
3,3,2020-12-31,3804,1,0,0,1
4,3,2020-12-31,10152,1,0,0,1
5,3,2020-12-31,1830,1,0,0,1
1,2,2020-12-30,6466,1,0,0,1
2,2,2020-12-30,5513,1,0,0,1
3,2,2020-12-30,8376,1,0,0,1
4,2,2020-12-30,16860,1,0,0,1
5,2,2020-12-30,5056,1,0,0,1
1,1,2020-12-29,6463,1,0,0,1
2,1,2020-12-29,5999,1,0,0,1
3,1,2020-12-29,8788,1,0,0,1
4,1,2020-12-29,13543,1,0,0,1
5,1,2020-12-29,4646,1,0,0,1
1,7,2020-12-28,0,0,0,0,1
2,7,2020-12-28,0,0,0,0,0
3,7,2020-12-28,0,0,0,0,0
4,7,2020-12-28,0,0,0,0,0
5,7,2020-12-28,0,0,0,0,0
1,6,2020-12-27,6057,1,0,0,1
2,6,2020-12-27,3934,1,0,0,0
3,6,2020-12-27,4825,1,0,0,0
4,6,2020-12-27,12724,1,0,0,0
5,6,2020-12-27,2847,1,0,0,0
1,5,2020-12-26,0,0,0,c,1
2,5,2020-12-26,0,0,0,c,1
3,5,2020-12-26,0,0,0,c,1
4,5,2020-12-26,0,0,0,c,1
5,5,2020-12-26,0,0,0,c,1
1,4,2020-12-25,0,0,0,c,1
2,4,2020-12-25,0,0,0,c,1
3,4,2020-12-25,0,0,0,c,1
4,4,2020-12-25,0,0,0,c,1
5,4,2020-12-25,0,0,0,c,1
1,3,2020-12-24,3659,1,0,0,1
2,3,2020-12-24,2437,1,0,0,1
3,3,2020-12-24,4310,1,0,0,1
4,3,2020-12-24,6551,1,0,0,1
5,3,2020-12-24,2850,1,0,0,1
1,2,2020-12-23,7959,1,0,0,1
2,2,2020-12-23,7557,1,0,0,1
3,2,2020-12-23,12121,1,0,0,1
4,2,2020-12-23,15839,1,0,0,1
5,2,2020-12-23,9164,1,0,0,1
1,1,2020-12-22,9331,1,0,0,1
2,1,2020-12-22,9027,1,0,0,1
3,1,2020-12-22,11282,1,0,0,1
4,1,2020-12-22,14572,1,0,0,1
5,1,2020-12-22,8765,1,0,0,1
1,7,2020-12-21,0,0,0,0,0
2,7,2020-12-21,0,0,0,0,0
3,7,2020-12-21,0,0,0,0,0
4,7,2020-12-21,0,0,0,0,0
5,7,2020-12-21,0,0,0,0,0
1,6,2020-12-20,8367,1,0,0,0
2,6,2020-12-20,4553,1,0,0,0
3,6,2020-12-20,8094,1,0,0,0
4,6,2020-12-20,13884,1,0,0,0
5,6,2020-12-20,3912,1,0,0,0
1,5,2020-12-19,7558,1,1,0,0
2,5,2020-12-19,7574,1,1,0,0
3,5,2020-12-19,9598,1,1,0,0
4,5,2020-12-19,13591,1,1,0,0
5,5,2020-12-19,7085,1,1,0,0
1,4,2020-12-18,7785,1,1,0,0
2,4,2020-12-18,8117,1,1,0,0
3,4,2020-12-18,11617,1,1,0,0
4,4,2020-12-18,13183,1,1,0,0
5,4,2020-12-18,7726,1,1,0,0
1,3,2020-12-17,7523,1,1,0,0
2,3,2020-12-17,9365,1,1,0,0
3,3,2020-12-17,10510,1,1,0,0
4,3,2020-12-17,13087,1,1,0,0
5,3,2020-12-17,8758,1,1,0,0
1,2,2020-12-16,7739,1,1,0,0
2,2,2020-12-16,9499,1,1,0,0
3,2,2020-12-16,13072,1,1,0,0
4,2,2020-12-16,12776,1,1,0,0
5,2,2020-12-16,8665,1,1,0,0
1,1,2020-12-15,8069,1,1,0,0
2,1,2020-12-15,10419,1,1,0,0
3,1,2020-12-15,13472,1,1,0,0
